Date,doy,Aquifer,PE,month,mday,is_holiday,wday,API,lagAPI,Tmax,Tmaxlag1,Sun,Sunlag1,WVRain,KerburnRain,Rain_L7DAYS,Rain_L6DAYS,Rain_L5DAYS,Rain_L4DAYS,Rain_L3DAYS,Rain_L2DAYS,Season,Rainlag1,Rainlag2,Rainlag3,PElag1,PElag2,PElag3,ANcyc,storage,Storagelag1,Wellington High Moa fTemp,Wellington High Moa fPrecp,Wellington High Moa cm,Wellington High Moa stat,Wellington High Moa,Restriction level
25/09/2024,269,1.4,3,9,30,0,2,14.244638394470096,16.05579799308762,15,20.0,10.1,8.9,0.47619047619047616,7,8.399999999999977,8.400000000000048,6.800000000000042,5.399999999999965,2.2000000000001885,7.460698725481052e-14,3,0.0,2.2,3.2,3.0,3.0,2.0,-0.09882013873287211,15.336313061026479,17.18199576562439,0.8954183137021474,0.9987378740464209,0.9166458533945092,273,0.0,0.0
26/09/2024,270,6.4,2,9,30,0,3,17.795710715576078,14.244638394470096,14,15.0,3.3,10.1,0.0,1,9.799999999999978,8.200000000000049,6.800000000000042,3.599999999999964,1.4000000000001886,1.400000000000075,3,1.4,0.0,2.2,3.0,3.0,3.0,-0.08167639533042288,18.35692704339848,15.336313061026479,0.8671808639559382,0.9985827083893201,0.9166458533945092,204,0.0,0.0
27/09/2024,271,3.8,2,9,30,0,4,18.03656857246086,17.795710715576078,13,14.0,7.4,3.3,8.380952380952381,21,14.599999999999977,13.200000000000049,10.000000000000043,7.799999999999966,7.80000000000019,6.400000000000074,3,6.4,1.4,0.0,2.0,3.0,3.0,-0.06450844944931713,18.473496393957554,18.35692704339848,0.8404872997208251,0.9955965018222447,0.9166458533945092,219,0.0,0.0
28/09/2024,272,1.2,2,9,30,0,5,15.62925485796869,18.03656857246086,15,13.0,10.6,7.4,0.0,23,16.99999999999998,13.80000000000005,11.600000000000042,11.599999999999966,10.20000000000019,3.8000000000000744,3,3.8,6.4,1.4,2.0,2.0,3.0,-0.04732138832243232,16.212435096140357,18.473496393957554,0.8954183137021474,0.9933610364280684,0.9166458533945092,221,0.0,0.0
29/09/2024,273,0.0,2,9,30,0,6,12.503403886374953,15.62925485796869,17,15.0,8.4,10.6,0.0,3,14.999999999999979,12.80000000000005,12.800000000000042,11.399999999999965,5.000000000000188,1.2000000000000746,3,1.2,3.8,6.4,2.0,2.0,2.0,-0.03012030484690836,13.273619195490896,16.212435096140357,0.9562057595483794,0.9930907571226643,0.9166458533945092,226,0.0,0.0
30/09/2024,274,0.0,3,9,30,0,0,10.002723109099962,12.503403886374953,18,17.0,11.9,8.4,0.0,2,12.79999999999998,12.80000000000005,11.400000000000041,4.9999999999999645,1.2000000000001882,0.0,3,0.0,1.2,3.8,2.0,2.0,2.0,-0.012910296075008843,10.867520239994617,13.273619195490896,0.9885236861586202,0.9957406431046747,0.9166458533945092,278,0.0,0.0
01/10/2024,275,0.0,2,10,31,0,1,8.00217848727997,10.002723109099962,16,18.0,9.9,11.9,0.0,6,12.79999999999998,11.40000000000005,5.000000000000042,1.1999999999999644,0.0,0.0,3,0.0,0.0,1.2,3.0,2.0,2.0,0.004303538296243821,8.897573030181002,10.867520239994617,0.9251270997870064,0.998274087160593,0.9340139196593192,227,0.0,0.0
02/10/2024,276,2.8,3,10,31,0,2,9.201742789823976,8.00217848727997,18,16.0,3.2,9.9,0.0,1,11.399999999999977,5.00000000000005,1.200000000000042,-3.552713678800501e-14,1.8829382497642655e-13,7.460698725481052e-14,3,0.0,0.0,0.0,2.0,3.0,2.0,0.021516097436222233,9.822486124474686,8.897573030181002,0.9885236861586202,0.9985827083893201,0.9340139196593192,156,0.0,0.0
03/10/2024,277,4.0,2,10,31,0,3,11.361394231859181,9.201742789823976,16,18.0,0.0,3.2,3.8095238095238093,30,7.799999999999979,4.00000000000005,2.8000000000000416,2.7999999999999643,2.800000000000188,2.8000000000000744,3,2.8,0.0,0.0,3.0,2.0,3.0,0.03872228089217399,11.66735640022955,9.822486124474686,0.9251270997870064,0.9944622950824147,0.9340139196593192,184,0.0,0.0
04/10/2024,278,2.2,3,10,31,0,4,11.289115385487346,11.361394231859181,17,16.0,10.4,0.0,0.8095238095238095,0,7.999999999999978,6.80000000000005,6.8000000000000425,6.799999999999964,6.800000000000188,4.000000000000075,3,4.0,2.8,0.0,2.0,3.0,2.0,0.05591699010060302,11.546385208131351,11.66735640022955,0.9562057595483794,0.9953098078428874,0.9340139196593192,232,0.0,0.0
