Date,doy,Aquifer,PE,month,mday,is_holiday,wday,API,lagAPI,Tmax,Tmaxlag1,Sun,Sunlag1,WVRain,KerburnRain,Rain_L7DAYS,Rain_L6DAYS,Rain_L5DAYS,Rain_L4DAYS,Rain_L3DAYS,Rain_L2DAYS,Season,Rainlag1,Rainlag2,Rainlag3,PElag1,PElag2,PElag3,ANcyc,storage,Storagelag1,Lower Hutt fTemp,Lower Hutt fPrecp,Lower Hutt cm,Lower Hutt stat,Lower Hutt,Restriction level
11/11/2024,316,1.2,4,11,30,0,0,14.272409269612941,16.340511587016177,20,18.0,11.3,2.8,1.5238095238095237,5,22.59999999999998,16.60000000000006,12.800000000000042,11.399999999999965,10.000000000000194,3.8000000000000718,3,3.8,6.2,1.4,3.0,4.0,4.0,0.6518989958787125,14.3720512378348,16.225646473349688,0.7622519010210416,0.7443983276195576,1.0651928263724313,230,0.0,0.0
12/11/2024,317,0.0,5,11,30,0,1,11.417927415690354,14.272409269612941,20,20.0,11.2,11.3,0.0,1,17.79999999999998,14.000000000000055,12.600000000000042,11.199999999999964,5.000000000000192,1.200000000000072,3,1.2,3.8,6.2,4.0,3.0,4.0,0.6648553979642859,11.766840333227826,14.3720512378348,0.7622519010210416,0.749727845204476,1.0651928263724313,193,0.0,0.0
13/11/2024,318,0.0,4,11,30,0,2,9.134341932552283,11.417927415690354,21,20.0,12.1,11.2,0.0,0,13.999999999999977,12.600000000000056,11.200000000000042,4.9999999999999645,1.2000000000001918,0.0,3,0.0,1.2,3.8,5.0,4.0,3.0,0.6776147890466887,9.633874047371988,11.766840333227826,0.7788431486222019,0.7784873794153713,1.0651928263724313,288,0.0,0.0
14/11/2024,319,22.8,3,11,30,0,3,30.107473546041827,9.134341932552283,21,21.0,2.5,12.1,0.0,3,12.599999999999977,11.200000000000056,5.000000000000043,1.1999999999999638,1.9184653865522705e-13,7.105427357601002e-14,3,0.0,0.0,1.2,4.0,5.0,4.0,0.6901733882429714,28.552243102973364,9.633874047371988,0.7788431486222019,0.8165237836652541,1.0651928263724313,204,0.0,0.0
15/11/2024,320,14.8,3,11,30,0,4,38.88597883683346,30.107473546041827,18,21.0,0.7,2.5,46.476190476190474,64,33.999999999999986,27.800000000000058,24.00000000000004,22.799999999999965,22.800000000000193,22.80000000000007,3,22.8,0.0,0.0,3.0,4.0,5.0,0.7025274741691566,36.79052376999234,28.552243102973364,0.7299261605458265,0.7279398311019567,1.0651928263724313,210,0.0,0.0
16/11/2024,321,3.4,3,11,30,0,5,34.508783069466766,38.88597883683346,13,18.0,5.6,0.7,0.8095238095238095,8,42.59999999999998,38.800000000000054,37.60000000000005,37.599999999999966,37.60000000000019,14.80000000000007,3,14.8,22.8,0.0,3.0,3.0,4.0,0.7146733860429609,33.20311043001353,36.79052376999234,0.6570454469451417,0.7279398294287376,1.0651928263724313,191,0.0,0.0
17/11/2024,322,1.6,4,11,30,0,6,29.207026455573416,34.508783069466766,14,13.0,12.3,5.6,0.0,0,42.19999999999998,41.00000000000006,41.00000000000005,40.999999999999964,18.20000000000019,3.400000000000071,3,3.4,14.8,22.8,3.0,3.0,3.0,0.7266075247685657,28.634561582272518,33.20311043001353,0.6705166709209236,0.7279398296906574,1.0651928263724313,258,0.0,0.0
18/11/2024,323,0.0,5,11,30,0,0,23.365621164458734,29.207026455573416,19,14.0,12.7,12.3,0.0,0,42.59999999999998,42.60000000000006,42.60000000000005,19.799999999999965,5.000000000000192,1.6000000000000711,3,1.6,3.4,14.8,4.0,3.0,3.0,0.7383263540031063,23.443996168311827,28.634561582272518,0.7459218123010017,0.7567831434175052,1.0651928263724313,239,0.0,0.0
19/11/2024,324,2.2,4,11,30,0,1,20.89249693156699,23.365621164458734,17,19.0,6.8,12.7,0.0,0,42.59999999999998,42.60000000000006,19.800000000000043,4.9999999999999645,1.600000000000192,7.105427357601002e-14,3,0.0,1.6,3.4,5.0,4.0,3.0,0.7498264012045686,21.18828235418146,23.443996168311827,0.7143319978944643,1.0,1.0651928263724313,250,0.0,0.0
20/11/2024,325,1.8,5,11,30,0,2,18.51399754525359,20.89249693156699,18,17.0,11.7,6.8,1.5238095238095237,0,44.79999999999998,22.000000000000057,7.200000000000043,3.799999999999965,2.200000000000192,2.2000000000000712,3,2.2,0.0,1.6,4.0,5.0,4.0,0.7611042586607742,18.978921590566063,21.18828235418146,0.7299261605458265,1.0,1.0651928263724313,244,0.0,0.0
21/11/2024,326,2.4,5,11,30,0,3,17.211198036202873,18.51399754525359,17,18.0,6.6,11.7,0.0,0,23.799999999999983,9.000000000000057,5.600000000000042,3.999999999999965,4.000000000000192,1.8000000000000713,3,1.8,2.2,0.0,5.0,4.0,5.0,0.7721565844991641,17.71385772951634,18.978921590566063,0.7143319978944643,1.0,1.0651928263724313,215,0.0,0.0
22/11/2024,327,1.8,5,11,30,0,4,15.5689584289623,17.211198036202873,16,17.0,7.5,6.6,0.8095238095238095,0,11.399999999999979,8.000000000000057,6.400000000000044,6.399999999999964,4.200000000000192,2.4000000000000714,3,2.4,1.8,2.2,5.0,5.0,4.0,0.7829801036770625,16.134303301101305,17.71385772951634,0.699199162069106,1.0,1.0651928263724313,192,0.0,0.0
23/11/2024,328,1.6,4,11,30,0,5,14.05516674316984,15.5689584289623,17,16.0,5.8,7.5,0.0,0,9.79999999999998,8.200000000000058,8.200000000000044,5.9999999999999645,4.200000000000193,1.8000000000000713,3,1.8,2.4,1.8,5.0,5.0,5.0,0.7935716089521472,14.659804267475383,16.134303301101305,0.7143319978944643,1.0,1.0651928263724313,198,0.0,0.0
24/11/2024,329,1.4,4,11,30,0,6,12.644133394535872,14.05516674316984,18,17.0,9.9,5.8,0.23809523809523808,0,9.79999999999998,9.800000000000058,7.600000000000042,5.799999999999965,3.4000000000001918,1.6000000000000711,3,1.6,1.8,2.4,4.0,5.0,5.0,0.8039279618328213,13.27131731634006,14.659804267475383,0.7299261605458265,1.0,1.0651928263724313,236,0.0,0.0
25/11/2024,330,0.0,6,11,30,0,0,10.115306715628698,12.644133394535872,19,18.0,11.1,9.9,0.0,0,11.19999999999998,9.000000000000057,7.200000000000043,4.799999999999964,3.000000000000192,1.400000000000071,3,1.4,1.6,1.8,4.0,4.0,5.0,0.8140460935082175,10.865635620743959,13.27131731634006,0.7459218123010017,1.0,1.0651928263724313,237,0.0,0.0
26/11/2024,331,0.0,6,11,30,0,1,8.092245372502958,10.115306715628698,22,19.0,8.0,11.1,0.0,1,8.999999999999979,7.200000000000057,4.8000000000000425,2.9999999999999645,1.4000000000001918,0.0,3,0.0,1.4,1.6,6.0,4.0,4.0,0.8239230057575542,8.896030034442646,10.865635620743959,0.7956172785149291,0.9334519735072657,1.0651928263724313,245,0.0,0.0
27/11/2024,332,0.0,5,11,30,0,2,6.473796298002367,8.092245372502958,21,22.0,5.9,8.0,0.0,4,7.199999999999979,4.800000000000057,3.0000000000000426,1.399999999999964,0.0,0.0,3,0.0,0.0,1.4,6.0,6.0,4.0,0.83355577183857,7.2834533695035715,8.896030034442646,0.7788431486222019,0.794855461801418,1.0651928263724313,227,0.0,0.0
28/11/2024,333,0.0,3,11,30,0,3,5.179037038401894,6.473796298002367,17,21.0,3.3,5.9,0.0,21,4.7999999999999785,3.000000000000057,1.4000000000000425,0.0,0.0,0.0,3,0.0,0.0,0.0,5.0,6.0,6.0,0.8429415373547827,5.963187262222023,7.2834533695035715,0.7143319978944643,0.7281248202294701,1.0651928263724313,203,0.0,0.0
29/11/2024,334,0.0,3,11,30,0,4,4.143229630721516,5.179037038401894,15,17.0,0.4,3.3,0.0,1,2.9999999999999787,1.4000000000000568,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3.0,5.0,6.0,0.8520775211013093,4.8822447979440655,5.963187262222023,0.6845795512362581,0.7281248202294701,1.0651928263724313,165,0.0,0.0
30/11/2024,335,0.0,5,11,30,0,5,3.314583704577213,4.143229630721516,18,15.0,12.9,0.4,0.0,5,1.3999999999999786,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3.0,3.0,5.0,0.8609610158889941,3.997243960131804,4.8822447979440655,0.7299261605458265,0.7280795699972209,1.0651928263724313,267,0.0,0.0
01/12/2024,336,0.0,3,12,31,0,6,2.6516669636617705,3.314583704577213,20,18.0,8.0,12.9,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,5.0,3.0,3.0,0.8695893893466109,3.272666557715126,3.997243960131804,0.7622519010210416,0.7373313356109852,1.0517382311634835,229,0.0,0.0
02/12/2024,337,0.0,3,12,31,0,0,2.1213335709294165,2.6516669636617705,21,20.0,9.1,8.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,3.0,5.0,3.0,0.8779600847008878,2.6794327553712316,3.272666557715126,0.7788431486222019,0.7332987866523237,1.0517382311634835,196,0.0,0.0
03/12/2024,338,0.0,4,12,31,0,1,1.6970668567435334,2.1213335709294165,19,21.0,3.1,9.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,3.0,3.0,5.0,0.8860706215341378,2.1937339976269,2.6794327553712316,0.7459218123010017,0.749727845204476,1.0517382311634835,209,0.0,0.0
04/12/2024,339,0.0,5,12,31,0,2,1.3576534853948268,1.6970668567435334,21,19.0,3.2,3.1,0.6190476190476191,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,4.0,3.0,3.0,0.893918596519257,1.7960774879298436,2.1937339976269,0.7788431486222019,0.8452086449288466,1.0517382311634835,270,0.0,0.0
05/12/2024,340,0.0,4,12,31,0,3,1.0861227883158615,1.3576534853948268,21,21.0,8.2,3.2,1.1428571428571428,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,5.0,4.0,3.0,0.9015016841318838,1.4705038742792107,1.7960774879298436,0.7788431486222019,1.0,1.0517382311634835,226,0.0,0.0
06/12/2024,341,0.0,4,12,31,0,4,0.8688982306526892,1.0861227883158615,18,21.0,10.7,8.2,0.23809523809523808,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,4.0,5.0,4.0,0.9088176373395028,1.203946744392708,1.4705038742792107,0.7299261605458265,1.0,1.0517382311634835,249,0.0,0.0
07/12/2024,342,0.0,5,12,31,0,5,0.6951185845221515,0.8688982306526892,20,18.0,11.8,10.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,4.0,4.0,5.0,0.9158642882672873,0.9857082247024264,1.203946744392708,0.7622519010210416,1.0,1.0517382311634835,285,0.0,0.0
08/12/2024,343,6.4,5,12,31,0,6,6.956094867617722,0.6951185845221515,18,20.0,1.1,11.8,0.0,8,-2.1316282072803006e-14,5.684341886080802e-14,4.263256414560601e-14,-3.552713678800501e-14,1.9184653865522705e-13,7.105427357601002e-14,4,0.0,0.0,0.0,5.0,4.0,4.0,0.9226395488404875,6.60764553863036,0.9857082247024264,0.7299261605458265,0.7567831434175052,1.0517382311634835,217,0.0,0.0
09/12/2024,344,3.8,6,12,31,0,0,9.364875894094178,6.956094867617722,20,18.0,11.9,1.1,31.476190476190474,0,6.399999999999978,6.400000000000056,6.400000000000042,6.399999999999964,6.400000000000191,6.4000000000000705,4,6.4,0.0,0.0,5.0,5.0,4.0,0.9291414114031743,8.853998299433545,6.60764553863036,0.7622519010210416,0.7567831434175052,1.0517382311634835,199,0.0,0.0
10/12/2024,345,0.0,6,12,31,0,1,7.491900715275342,9.364875894094178,21,20.0,13.2,11.9,0.0,0,10.199999999999978,10.200000000000056,10.200000000000042,10.199999999999964,10.200000000000191,3.800000000000071,4,3.8,6.4,0.0,6.0,5.0,5.0,0.935367949313148,7.249040695446397,8.853998299433545,0.7788431486222019,0.7567831434175052,1.0517382311634835,282,0.0,0.0
11/12/2024,346,0.0,6,12,31,0,2,5.993520572220274,7.491900715275342,19,21.0,10.4,13.2,0.0,1,10.199999999999978,10.200000000000056,10.200000000000042,10.199999999999964,3.8000000000001917,0.0,4,0.0,3.8,6.4,6.0,6.0,5.0,0.941317317512847,5.935012547675766,7.249040695446397,0.7459218123010017,0.9334519735072657,1.0517382311634835,286,0.0,0.0
12/12/2024,347,1.4,4,12,31,0,3,6.19481645777622,5.993520572220274,19,19.0,2.2,10.4,0.0,8,10.199999999999978,10.200000000000056,10.200000000000042,3.799999999999964,1.9184653865522705e-13,7.105427357601002e-14,4,0.0,0.0,3.8,6.0,6.0,6.0,0.9469877530760751,6.1280620211399786,5.935012547675766,0.7459218123010017,0.749727845204476,1.0517382311634835,228,0.0,0.0
13/12/2024,348,1.2,4,12,31,0,4,6.155853166220976,6.19481645777622,22,19.0,12.4,2.2,0.14285714285714285,0,11.59999999999998,11.600000000000058,5.200000000000042,1.3999999999999642,1.4000000000001915,1.4000000000000707,4,1.4,0.0,0.0,4.0,6.0,6.0,0.9523775757303973,6.104848315008623,6.1280620211399786,0.7956172785149291,0.749727845204476,1.0517382311634835,212,0.0,0.0
14/12/2024,349,0.0,4,12,31,0,5,4.924682532976782,6.155853166220976,21,22.0,6.8,12.4,0.0,0,12.79999999999998,6.400000000000056,2.6000000000000423,2.599999999999964,2.6000000000001915,1.200000000000071,4,1.2,1.4,0.0,4.0,4.0,6.0,0.9574851883550393,4.998227058373859,6.104848315008623,0.7788431486222019,0.7567831434175052,1.0517382311634835,205,0.0,0.0
15/12/2024,350,0.0,5,12,31,0,6,3.9397460263814255,4.924682532976782,21,21.0,8.6,6.8,0.0,0,6.399999999999978,2.6000000000000565,2.6000000000000423,2.599999999999964,1.2000000000001918,0.0,4,0.0,1.2,1.4,4.0,4.0,4.0,0.9623090774541485,4.092202203557175,4.998227058373859,0.7788431486222019,1.0,1.0517382311634835,197,0.0,0.0
16/12/2024,351,8.8,3,12,31,0,0,11.951796821105141,3.9397460263814255,19,21.0,2.3,8.6,0.0,2,2.5999999999999783,2.6000000000000565,2.6000000000000423,1.1999999999999638,1.9184653865522705e-13,7.105427357601002e-14,4,0.0,0.0,1.2,5.0,4.0,4.0,0.9668478136052775,11.326258656434543,4.092202203557175,0.7459218123010017,0.8831821101045145,1.0517382311634835,205,0.0,0.0
17/12/2024,352,5.4,3,12,31,0,1,14.961437456884113,11.951796821105141,14,19.0,6.4,2.3,22.047619047619047,36,11.399999999999979,11.400000000000057,10.000000000000043,8.799999999999965,8.800000000000193,8.800000000000072,4,8.8,0.0,0.0,3.0,5.0,4.0,0.9711000518829505,14.167425946233156,11.326258656434543,0.6705166709209236,0.7279462151123147,1.0517382311634835,189,0.0,0.0
18/12/2024,353,3.4,5,12,31,0,2,15.369149965507292,14.961437456884113,17,14.0,8.7,6.4,0.0,5,16.79999999999998,15.400000000000057,14.200000000000044,14.199999999999966,14.200000000000193,5.400000000000071,4,5.4,8.8,0.0,3.0,3.0,5.0,0.9750645322571947,14.68088451181032,14.167425946233156,0.7143319978944643,0.7279413998951099,1.0517382311634835,187,0.0,0.0
19/12/2024,354,16.4,2,12,31,0,3,28.695319972405834,15.369149965507292,14,17.0,0.0,8.7,0.0,1,18.799999999999976,17.60000000000006,17.600000000000044,17.599999999999966,8.800000000000193,3.4000000000000696,4,3.4,5.4,8.8,5.0,3.0,3.0,0.9787400799669153,26.88376987981083,14.68088451181032,0.6705166709209236,0.7279419085007843,1.0517382311634835,156,0.0,0.0
20/12/2024,355,8.6,0,12,31,0,4,31.55625597792467,28.695319972405834,18,14.0,0.0,0.0,9.666666666666666,0,33.99999999999997,34.00000000000006,34.00000000000004,25.19999999999996,19.80000000000019,16.40000000000007,4,16.4,3.4,5.4,2.0,5.0,3.0,0.9821256058680005,29.805146776919468,26.88376987981083,0.7299261605458265,0.7784873794153713,1.0517382311634835,129,0.0,0.0
21/12/2024,356,7.8,3,12,31,0,5,33.04500478233974,31.55625597792467,24,18.0,6.6,0.0,0.14285714285714285,0,42.59999999999998,42.60000000000006,33.80000000000004,28.399999999999967,25.00000000000019,8.600000000000069,4,8.6,16.4,3.4,0.0,2.0,5.0,0.9852201067560606,31.471890896225766,29.805146776919468,0.8293847937174451,0.9334519735072657,1.0517382311634835,225,0.0,0.0
22/12/2024,357,4.6,5,12,31,0,6,31.036003825871795,33.04500478233974,20,24.0,3.4,6.6,19.047619047619047,2,50.39999999999997,41.60000000000005,36.20000000000004,32.79999999999996,16.40000000000019,7.80000000000007,4,7.8,8.6,16.4,3.0,0.0,2.0,0.9880226656636976,29.93619761346142,31.471890896225766,0.7622519010210416,0.8831821101045145,1.0517382311634835,215,0.0,0.0
